,S,K,T,r,v_0,theta,kappa,rho,xi,call_price
0,396.5065065065065,394.0733426660783,1.6015181848515179,0.09363636363636364,0.41919191919191917,0.36909090909090914,7.171717171717171,-0.45090090090090085,1.9807342538404518,81.32540326455337
1,331.27127127127125,301.4183530263723,1.9927427427427424,0.02909090909090909,0.48787878787878786,0.7441414141414142,6.262626262626262,0.3874774774774776,0.21697707154765292,116.8551989361447
2,184.1241241241241,164.31927846793047,0.8103103103103103,0.07,0.6853535353535354,0.2573737373737374,3.7373737373737375,0.3993693693693694,0.8524781572175522,24.075087252552937
3,142.9229229229229,142.42642307295006,1.5372872872872871,0.08090909090909092,0.7626262626262627,0.24939393939393945,7.878787878787879,-0.9444144144144144,0.42465469954057,27.021170300664632
4,442.1221221221221,434.63753368088334,2.941608274941608,0.09090909090909091,0.2217171717171717,0.01,2.727272727272727,-0.2745045045045045,0.020339161604219967,13.219608670734113
5,396.996996996997,370.85930223678065,1.0000834167500834,0.07,0.402020202020202,0.28131313131313135,4.94949494949495,0.6292792792792794,1.4549333864812826,56.093018072689766
6,62.972972972972975,46.88616250052123,2.962045378712045,0.06363636363636364,0.5050505050505051,0.5286868686868688,0.9090909090909091,-0.10603603603603595,0.6487149227547174,12.67479171547371
7,150.77077077077078,161.71711548338845,1.9197530864197527,0.028181818181818183,0.8313131313131313,0.5925252525252526,6.4646464646464645,-0.5083783783783784,0.9503190854268536,63.450090882990295
8,209.62962962962962,207.4833156567285,0.5183516850183516,0.04272727272727273,0.06717171717171717,0.7281818181818183,7.6767676767676765,0.6550450450450451,2.6943530631469956,40.81153876041719
9,461.74174174174175,401.4883821565351,2.8043877210543875,0.04363636363636364,0.30757575757575756,0.7441414141414142,8.787878787878787,0.0881981981981983,3.457185221375876,162.88803218725127
10,110.55055055055055,108.1370524257452,0.36945278611945276,0.011818181818181818,0.30757575757575756,0.2653535353535354,0.40404040404040403,-0.40135135135135125,0.21275855527324966,13.158512286857501
11,355.7957957957958,309.136495602596,2.159159159159159,0.06454545454545454,0.8398989898989899,0.3132323232323233,4.343434343434343,0.33000000000000007,0.4161021566108933,69.21169171124986
12,102.7027027027027,114.83005368580157,1.017600934267601,0.04727272727272728,0.31616161616161614,0.11373737373737375,7.2727272727272725,-0.5361261261261261,0.7210041849009342,19.387376144658806
13,423.4834834834835,380.49082631404116,1.1840173506840173,0.040909090909090916,0.07575757575757576,0.7202020202020203,7.070707070707071,-0.5004504504504503,1.6292145352250147,101.1839824658147
14,478.9089089089089,470.4215263103243,2.6350517183850517,0.03636363636363637,0.6338383838383839,0.432929292929293,3.6363636363636362,-0.30225225225225216,1.2415631796956275,159.35603295091238
15,249.84984984984985,293.84753174947224,1.467217217217217,0.015454545454545455,0.2732323232323232,0.7760606060606061,3.7373737373737375,0.2586486486486488,0.4556615653891786,123.75593061096427
16,249.84984984984985,281.483152986981,1.6628294961628292,0.05090909090909092,0.2217171717171717,0.16161616161616166,3.8383838383838382,-0.4687387387387387,1.067033470298609,54.592528294398136
17,19.80980980980981,24.44700554797246,2.4219219219219217,0.020000000000000004,0.2818181818181818,0.7680808080808081,1.0101010101010102,-0.4687387387387387,0.7057514844427366,10.810947594901219
18,431.8218218218218,463.4266760466313,1.9285118451785115,0.09272727272727273,0.10151515151515152,0.39303030303030306,8.282828282828282,0.17342342342342354,1.2873077772620538,115.21679516105353
19,478.9089089089089,477.98233244986466,1.840924257590924,0.016363636363636365,0.1702020202020202,0.20151515151515154,9.8989898989899,0.06441441441441453,1.635505867536082,104.24512810005038
